Duke,115.71051210865,96.126032100561,0.89401833733777,5–2,5,7,54.6,47.5,34.5,28.3,12.8,18,28.5,24.1,70.5,56.6,46.7,34.2,32.7,10.1,10.9,55.5,56.8,36.6,36.9,69.280823024053,78.16863784665578,82.02600000000002,1.2239999999999998,2024,0,0,90.06012,,71.8,67.8,1.174,0.943,21.469742857143
USC,115.67758199761,96.148129172339,0.89345644079515,5–2,5,7,54.2,46.2,42,23.4,19.1,18.5,30,31.5,71.2,51.9,46.2,38.5,30.7,15.4,7.5,56.5,57.9,39.5,40.2,70.183560243771,79.12234255916565,82.486,1.7603999999999997,2024,0,0,71.03528000000001,,76.5,67.3,1.114,0.966,17.4747
Baylor,119.76255917785,99.621797073081,0.89259214232553,6–0,6,6,59,46.8,47.2,30,16.5,17.2,39.4,30.8,72.5,52.3,49.2,48.7,28,9.9,12.8,53.8,47.8,32.5,33.2,70.52632319584,78.1401925391095,81.57,1.646811912852288,2024,0,0,57.198679999999996,,76.5,75.2,1.275,1.006,18.759933333333
San Diego St.,111.66507359389,93.065920021083,0.89044094337595,5–1,5,6,50.7,46.4,47.8,28.4,15.2,19.7,30.2,31.2,70.8,50.9,48.7,33.6,28.8,10.3,6,58.4,49.7,35.6,40.6,68.869857743901,77.86902800658977,80.76799999999999,2.452,2024,0,0,48.062400000000004,,73.3,70.1,1.111,0.962,26.659833333333
BYU,113.95727734969,95.08542757122,0.88914632896748,6–0,6,6,58.6,42.3,26.1,27.4,16.1,17.5,40,18.6,72.5,59.2,46.2,38.6,22.5,5.7,3.5,66,38.8,50.1,31,70.413437266494,78.1706562113083,80.67049999999999,2.2110000000000007,2024,0,0,16.49592,,78.1,59.2,1.273,0.829,14.671566666667
TCU,112.19548531264,94.405506540804,0.87925547371035,6–0,6,6,58.7,45.9,33.2,26.4,17,25.2,35.4,25.4,76.6,62.3,45.2,33.6,32,15.1,5.9,66,54.7,29.8,27.2,72.927393403278,78.28571428571429,80.865,2.668932427029188,2024,0,0,53.0732,,78.3,56.4,1.214,0.827,1.2566166666667
Florida,114.3816968669,96.710226534344,0.87324411778607,4–3,4,7,52.6,49.4,42,34.8,18.3,16.9,40.9,30.8,73.6,54.3,46.7,32.9,36.6,12.1,7.6,54.8,51.1,34.3,33.4,72.730448212807,78.3609371844072,82.08850000000001,1.6015593762494995,2024,0,0,37.518679999999996,,66.1,66.9,1.144,1.029,23.749428571429
Texas A&M,117.58311815396,99.467026702906,0.87260290357726,6–2,6,8,47.1,48.8,33.3,30,15.2,16.2,45.9,28.1,65.6,50.5,47.6,27.3,33.5,10,12.4,43.3,54.3,34.7,45.2,66.447884358956,77.2907233019435,79.8835,2.4314000000000004,2024,0,0,56.171240000000004,,73.4,73,1.146,1.038,31.304875
Saint Mary's,110.85891068937,94.255582343445,0.86597794202458,2–4,2,6,45.9,47.7,24.6,35.7,17.9,15.3,39.6,26.2,65.3,45.6,46.4,30.9,34,12.6,8.8,54.5,47.6,40.7,28.2,64.131310679492,78.73141186299083,81.51,1.807238552289542,2024,0,0,37.595839999999995,,62.2,66.4,1.001,1.014,23.03995
Iowa St.,109.28540294937,92.926875627144,0.86584664932445,5–2,5,7,52.6,44.1,43.8,37.8,14.8,26.5,37.1,23.2,68.5,55.3,39.9,31.3,32.5,11.2,7.4,56.3,54.8,32.1,47.8,69.250607592888,77.64662576687115,80.54850000000002,1.6880000000000002,2024,0,0,47.3662,,67.8,69.8,1.176,0.815,14.3922
Texas,113.90773979309,97.056017190239,0.86308535498566,5–1,5,6,57.8,43.7,32.5,36.4,17.6,18.1,31.6,29.4,70,58.1,45,38.1,27.1,12.8,8.5,56,52.2,33.3,30.7,68.882989621807,76.60377745842743,80.156,2.20375924815037,2024,0,0,46.3794,,72.2,77.2,1.171,0.96,13.754333333333
Colorado,113.64129917522,96.832749774963,0.86303264125627,5–2,5,7,57,48.6,38.7,35.1,20,17.9,35.8,23.9,69.6,55.4,47.7,40.5,33.3,7.4,6.1,58.8,37.5,30.2,39.1,70.004210706212,78.37997144605343,81.2255,2.049019607843138,2024,0,0,40.94908,,78.7,73.6,1.167,0.99,15.591342857143
Ohio St.,115.85702871207,98.774438811924,0.86229191555559,6–1,6,7,54.5,47.3,34.5,28.4,15.2,18.6,35.6,29.1,66.9,52.5,47,38.6,31.8,12.5,6.1,53.6,39.9,37,42.3,66.800658384252,77.51338647046802,80.1815,1.5704885343968096,2024,0,0,62.61232,,76.2,63.2,1.196,0.966,15.368628571429
Clemson,115.03001444773,98.276166782648,0.85939000486064,6–0,6,6,56.8,47.2,26.3,35,14.5,15.5,27.7,24.2,68.9,53.2,45.1,41.5,33.6,16.5,5,60.5,43.9,40.3,39.9,68.51980507201,78.25675405243146,81.51799999999999,2.341185865442205,2024,0,0,61.40508,,70.8,72.5,1.169,0.994,19.595383333333
Nebraska,114.8401869685,98.172051617859,0.85856583564984,7–0,7,7,54,41,44.7,21.6,14.4,15.3,34.4,26.6,68.2,55.9,42,34.5,26.2,7.6,10.9,63.8,34,47.9,37.3,68.619427677568,77.58943427620632,80.459,2.3622346816179425,2024,0,0,27.862759999999994,,74,75.8,1.196,0.907,6.3425285714286
Mississippi St.,106.71456757711,91.320413581126,0.857112093829,6–1,6,7,48.1,40.6,35.2,30.5,18.9,17.9,32.4,23.8,71.1,50.8,42.4,29.7,25,10.5,8.9,49.7,44.6,43.9,37.8,69.828345748058,76.89603340292274,80.38599999999998,2.158399999999999,2024,0,0,40.45304000000001,,73.6,69,1.033,0.848,18.0373
UCLA,109.97106283595,94.448764984193,0.85193225468422,3–2,3,5,49.4,44.9,47.2,39.5,15.8,20.4,31.3,24.7,65.7,51.2,46.4,28.6,28.7,13.8,5.3,48,46.4,21.1,45.5,66.164334929739,78.32555780933063,81.69,0.923,2024,0,0,59.60479999999998,,74.4,65,1.081,0.889,21.9973
Colorado St.,115.91215514516,99.672355131682,0.85016032044958,7–0,7,7,61.1,47.7,33.1,29.2,13.9,19.5,18,25.7,71.1,62.3,50.2,39.4,28.6,6.7,6.1,67,40.2,38.6,34.4,69.620863494184,76.48255089322808,78.9105,2.547799999999999,2024,0,0,21.959799999999998,,78.9,77.3,1.197,0.964,19.061085714286
Nevada,112.56683116828,97.006260237377,0.84694951176368,5–0,5,5,53.8,45.2,47.2,28.9,11.9,15.5,29.2,23.7,72.1,54.9,46.6,34.1,28.9,9.7,8.5,55.8,55.4,29.2,43.4,69.310941765083,78.03076923076924,80.7825,2.283,2024,0,0,29.3196,,76.8,53.3,1.201,0.912,11.85474
Providence,110.54380259241,95.265596869779,0.84690704220767,6–1,6,7,53.3,40,35.9,24.6,19.5,18.2,31.4,27.4,70.4,56.7,38.4,32.3,28.9,15.5,7.1,54.2,38.7,41,32.3,69.735220768399,77.92348284960421,80.28,1.7323070771691325,2024,0,0,64.75108,,68.5,82.4,1.065,0.878,12.574828571429
