school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Clemson,6,6,0,1.000,16.14,4.14,3,0,1,0,483,411,68.9,116.9,.263,.403,.588,52.5,60.5,6.3,16.5,.568,12.7,27.7,.186
Cleveland State,9,6,3,.667,-2.38,-4.88,6,0,0,3,690,609,69.3,110.8,.417,.299,.531,50.0,45.4,14.6,15.0,.497,13.7,37.2,.279
Coastal Carolina,7,2,5,.286,-7.87,-1.37,2,5,0,0,534,571,71.5,104.9,.336,.377,.526,52.0,49.2,9.0,13.2,.509,16.7,37.5,.201
Colgate,8,4,4,.500,4.26,5.38,2,1,0,2,522,531,67.5,96.7,.211,.423,.522,52.1,58.8,8.9,4.9,.499,17.1,24.5,.152
College of Charleston,8,4,4,.500,2.23,5.36,1,0,2,1,581,606,71.1,102.1,.308,.489,.504,49.8,50.0,8.3,6.6,.464,14.0,31.4,.227
Colorado,7,5,2,.714,12.15,-0.42,4,0,0,1,579,491,69.6,116.7,.387,.302,.610,57.4,58.8,9.5,7.4,.570,17.3,35.8,.304
Colorado State,8,8,0,1.000,22.85,7.72,4,0,1,0,682,561,70.7,120.5,.335,.396,.633,49.3,65.7,10.1,5.8,.602,12.5,21.5,.262
Columbia,8,6,2,.750,-0.15,-4.15,5,1,1,1,624,505,71.9,108.5,.339,.365,.573,52.5,64.7,14.6,6.5,.530,16.2,29.5,.271
Connecticut,8,7,1,.875,20.19,-3.93,5,0,0,1,686,493,68.5,125.2,.368,.424,.601,60.3,58.6,10.2,15.0,.570,12.6,40.2,.272
Coppin State,8,1,7,.125,-21.25,-5.00,1,1,0,5,450,580,65.9,85.2,.333,.330,.465,40.4,37.1,14.0,7.7,.421,19.2,24.7,.234
Cornell,8,7,1,.875,3.55,-3.16,2,0,3,1,684,616,75.0,114.0,.349,.478,.617,54.4,59.4,10.7,6.0,.598,18.3,31.0,.244
Creighton,7,6,1,.857,22.94,3.51,4,0,1,0,583,447,67.9,122.7,.260,.500,.618,57.6,56.2,5.1,7.8,.600,12.9,30.2,.188
Dartmouth,6,1,5,.167,-15.17,2.43,1,1,0,4,367,437,69.6,88.0,.294,.433,.478,48.6,47.0,6.7,8.1,.441,16.7,21.9,.208
Davidson,8,5,3,.625,3.91,3.76,3,0,1,2,574,550,65.2,110.0,.354,.438,.561,49.8,52.0,10.5,6.5,.529,14.5,29.2,.253
