school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Maryland-Eastern Shore,6,2,4,.333,-15.96,2.64,2,1,0,3,409,484,70.4,94.9,.253,.303,.486,45.2,45.7,10.0,6.2,.449,14.1,26.8,.189
Massachusetts,5,4,1,.800,10.80,-4.80,4,1,0,0,424,346,72.6,114.0,.378,.369,.535,53.2,64.3,13.2,11.1,.518,11.8,37.6,.226
Massachusetts-Lowell,7,5,2,.714,0.93,-6.07,1,0,4,2,537,450,70.6,108.7,.315,.264,.561,55.8,43.0,9.3,13.2,.523,17.2,35.5,.245
McNeese State,9,7,2,.778,9.25,2.08,4,0,2,2,730,550,66.5,122.1,.240,.301,.583,54.2,42.9,16.7,10.7,.572,11.0,35.4,.155
Memphis,7,5,2,.714,7.89,2.31,2,0,1,1,551,512,73.5,107.2,.339,.381,.551,48.5,47.7,12.1,14.9,.519,15.5,29.3,.241
Mercer,7,2,5,.286,-8.19,0.15,0,1,1,3,458,515,67.6,96.8,.325,.369,.511,45.0,52.4,11.2,9.0,.490,16.1,24.8,.201
Merrimack,9,4,5,.444,-3.35,-1.22,2,0,1,4,639,635,69.7,100.5,.392,.392,.539,47.8,47.7,14.8,10.3,.496,17.8,28.5,.286
Miami (FL),7,6,1,.857,12.35,1.92,4,0,0,1,580,507,72.3,114.6,.311,.379,.618,50.7,48.5,11.1,10.4,.584,16.1,27.0,.249
Miami (OH),7,4,3,.571,-6.30,-5.80,3,1,1,2,502,466,69.8,102.7,.423,.431,.563,47.6,63.9,9.4,7.5,.530,17.6,23.1,.294
Michigan,8,4,4,.500,9.67,4.05,2,1,1,1,656,611,69.7,115.9,.294,.406,.587,53.4,47.3,6.9,9.5,.573,15.7,36.5,.192
Michigan State,7,4,3,.571,18.45,5.88,4,1,0,0,524,436,69.1,106.3,.368,.304,.522,51.7,61.5,10.3,13.8,.491,13.6,32.0,.246
Middle Tennessee,9,4,5,.444,-1.99,1.63,3,3,0,0,585,588,65.0,97.3,.344,.381,.494,51.7,39.8,9.7,11.5,.456,17.4,33.5,.238
Milwaukee,8,3,5,.375,-14.02,-2.19,2,1,0,3,594,618,69.8,106.5,.307,.440,.497,48.9,47.1,12.0,11.8,.465,12.1,35.5,.209
Minnesota,7,5,2,.714,4.89,-8.25,5,1,0,0,558,466,70.5,113.2,.403,.413,.586,56.7,68.8,7.7,11.7,.549,17.3,36.3,.298
Mississippi,7,7,0,1.000,3.65,-3.36,6,0,1,0,513,464,67.8,108.0,.305,.327,.535,49.6,61.6,11.6,17.7,.501,12.7,30.6,.222
Mississippi State,7,6,1,.857,16.42,3.27,3,0,0,1,514,422,71.1,103.2,.352,.442,.523,55.2,52.0,11.2,10.5,.481,16.1,32.6,.259
Mississippi Valley State,8,0,8,.000,-28.33,4.80,0,0,0,8,408,673,67.2,74.7,.324,.224,.421,41.7,38.5,9.2,3.7,.385,21.8,26.0,.202
Missouri,8,6,2,.750,2.68,-5.32,4,2,2,0,597,533,68.0,109.7,.256,.459,.569,49.1,53.7,13.1,19.4,.543,15.0,27.7,.190
Missouri State,8,6,2,.750,6.13,-0.24,3,0,0,2,595,544,71.4,104.2,.400,.419,.566,55.3,55.5,6.5,10.5,.529,18.2,30.0,.287
Monmouth,8,4,4,.500,-1.04,1.34,1,1,1,3,583,602,69.8,104.5,.359,.357,.541,48.4,50.0,10.6,9.6,.508,15.7,29.4,.252
Montana,7,3,4,.429,1.59,8.09,3,1,0,3,500,491,68.7,104.0,.278,.328,.528,50.8,51.9,6.2,7.8,.493,13.7,26.3,.211
Montana State,7,3,4,.429,-1.17,0.03,2,3,1,1,487,461,67.3,101.5,.192,.472,.535,43.4,48.9,12.5,7.5,.516,12.8,18.0,.137
Morehead State,8,5,3,.625,-3.44,5.40,3,0,2,3,570,526,67.2,105.9,.323,.439,.554,58.2,55.4,8.2,11.9,.531,19.3,38.5,.215
Morgan State,9,2,7,.222,-18.65,4.64,2,0,0,5,627,724,72.6,96.0,.236,.306,.507,47.2,42.7,9.0,7.7,.482,18.1,30.4,.164
Mount St. Mary's,6,1,5,.167,-10.77,-7.43,1,1,0,4,421,441,67.9,97.2,.274,.296,.501,50.6,48.8,11.3,9.0,.469,17.6,34.7,.194
Murray State,6,3,3,.500,-0.61,0.19,3,1,0,0,467,438,68.7,110.9,.368,.349,.550,52.8,47.3,6.7,6.8,.519,12.4,30.0,.255
Navy,5,1,4,.200,-8.81,-4.01,1,1,0,3,297,321,66.6,89.2,.261,.381,.442,49.5,48.6,11.1,5.6,.398,15.6,32.7,.197
NC State,7,5,2,.714,8.16,1.02,3,0,1,1,549,499,70.9,108.7,.286,.338,.531,50.4,49.0,11.1,7.6,.495,11.9,29.6,.218
Nebraska,7,7,0,1.000,13.14,-6.57,6,0,0,0,571,433,68.2,119.5,.447,.479,.581,55.6,63.8,6.3,7.6,.540,12.3,34.4,.331
Nevada,6,6,0,1.000,19.60,-0.40,5,0,1,0,506,386,71.2,118.5,.473,.269,.579,54.1,58.1,7.0,12.3,.527,9.9,28.3,.364
Nevada-Las Vegas,6,3,3,.500,0.97,2.14,2,1,1,0,436,443,66.9,108.7,.258,.372,.556,48.2,45.5,11.0,10.0,.534,14.2,28.9,.181
New Hampshire,8,5,3,.625,-1.10,0.76,3,0,2,3,647,583,76.5,105.7,.329,.447,.544,48.8,52.5,11.1,5.3,.514,13.7,23.8,.232
New Mexico,8,7,1,.875,18.61,1.23,4,0,0,1,684,545,73.8,115.9,.393,.287,.558,53.8,55.3,10.7,12.1,.525,11.4,32.5,.275
New Mexico State,10,4,6,.400,-13.86,5.28,4,0,0,4,718,747,69.9,100.3,.383,.343,.528,51.8,53.8,9.2,7.2,.488,15.7,27.6,.273
New Orleans,7,3,4,.429,-15.74,-3.54,2,0,1,3,556,550,77.2,101.1,.376,.282,.515,46.1,45.4,13.3,7.1,.463,14.2,27.4,.288
Niagara,5,1,4,.200,-11.92,-5.52,0,2,1,2,336,368,66.4,101.2,.356,.276,.551,45.1,39.8,7.2,3.7,.523,15.5,19.7,.241
Nicholls State,9,3,6,.333,-5.40,4.85,1,0,2,4,659,711,69.4,101.2,.319,.431,.527,45.7,40.6,10.9,12.0,.489,15.2,25.3,.236
NJIT,7,1,6,.143,-20.85,-5.56,1,2,0,4,449,556,69.3,92.6,.377,.431,.495,44.0,50.7,8.7,5.5,.453,17.8,26.2,.260
Norfolk State,9,6,3,.667,-1.49,-1.06,4,0,1,1,679,601,69.7,108.1,.417,.350,.533,51.4,49.1,15.1,11.3,.483,13.3,33.7,.310
North Alabama,8,4,4,.500,-4.25,-2.11,4,0,0,4,617,599,71.6,102.8,.368,.347,.543,48.9,46.6,9.3,7.6,.496,16.0,26.4,.283
North Carolina,8,7,1,.875,19.16,4.91,5,0,0,0,690,576,72.0,117.9,.469,.351,.576,54.7,50.2,7.7,12.0,.522,12.3,34.1,.363
North Carolina A&T,7,0,7,.000,-20.31,3.40,0,1,0,4,478,644,72.2,94.7,.355,.445,.485,37.5,54.8,8.3,8.3,.436,12.1,18.4,.261
North Carolina Central,9,4,5,.444,-9.07,-1.35,2,1,2,3,687,625,69.9,107.7,.336,.380,.544,48.7,48.2,14.4,9.6,.511,14.5,31.6,.239
North Dakota,8,6,2,.750,-12.61,-7.78,3,0,1,2,603,571,69.9,106.2,.308,.405,.530,52.3,44.4,9.7,9.7,.504,13.9,32.0,.208
North Dakota State,8,4,4,.500,-5.43,4.41,2,0,2,3,601,604,67.6,109.5,.310,.339,.545,51.2,39.4,7.3,3.5,.515,13.2,31.1,.220
North Florida,9,4,5,.444,-11.70,-6.70,3,2,1,3,686,689,71.5,106.7,.280,.505,.554,47.9,46.4,9.0,5.7,.518,15.8,25.9,.220
North Texas,7,5,2,.714,6.74,-4.76,4,0,0,0,495,397,61.8,112.5,.321,.422,.570,53.9,48.5,11.4,6.5,.531,15.5,34.9,.252
Northeastern,9,4,5,.444,-3.27,-1.83,2,0,1,4,671,684,67.0,111.3,.449,.365,.577,51.5,53.5,9.6,10.1,.533,17.0,33.9,.334
Northern Arizona,8,3,5,.375,-6.84,2.66,1,0,1,4,512,588,71.0,90.1,.258,.375,.495,44.1,56.1,9.7,9.1,.480,17.5,21.0,.150
Northern Colorado,8,4,4,.500,-7.93,-2.60,3,1,0,2,596,578,72.4,101.4,.341,.457,.521,49.3,50.2,9.9,5.8,.488,14.8,25.7,.236
Northern Illinois,7,5,2,.714,5.69,7.36,2,0,2,2,592,550,75.1,112.5,.447,.348,.577,51.1,45.9,8.2,11.9,.553,14.4,29.5,.293
Northern Iowa,8,2,6,.250,-0.28,5.29,1,1,0,3,603,602,69.0,106.0,.291,.389,.551,50.4,51.1,8.3,4.5,.531,13.8,23.7,.191
Northern Kentucky,8,5,3,.625,-1.27,-2.42,4,0,1,3,583,558,70.3,103.7,.401,.323,.545,48.8,54.8,12.6,9.3,.516,16.0,29.3,.267
Northwestern,7,6,1,.857,13.67,6.82,5,0,0,0,516,468,64.3,112.7,.301,.348,.553,47.0,58.0,13.5,11.9,.521,10.7,27.8,.223
Northwestern State,8,1,7,.125,-16.56,0.59,1,1,0,4,566,639,72.4,97.6,.334,.389,.497,45.9,41.7,10.2,9.8,.457,15.5,29.0,.238
Notre Dame,7,3,4,.429,-0.77,3.52,2,1,0,2,433,463,65.5,92.7,.253,.435,.483,50.9,49.7,7.7,7.6,.450,16.7,28.1,.183
Oakland,9,5,4,.556,6.37,6.15,1,1,2,2,656,654,69.2,105.3,.279,.375,.538,49.4,45.6,9.8,3.7,.510,14.7,28.3,.199
Ohio,7,5,2,.714,4.02,-2.55,3,0,0,1,567,521,70.1,111.6,.340,.363,.557,48.4,41.3,9.1,10.9,.532,11.5,29.6,.231
Ohio State,7,6,1,.857,20.24,4.81,4,1,0,0,560,452,66.8,119.7,.346,.368,.582,54.1,56.1,9.8,12.5,.546,12.9,35.6,.264
Oklahoma,7,7,0,1.000,17.14,-6.72,5,0,0,0,612,445,71.5,122.2,.316,.386,.614,55.8,50.2,10.2,11.8,.583,14.6,36.6,.247
Oklahoma State,7,3,4,.429,4.37,-2.34,3,2,0,0,525,478,68.5,107.6,.297,.429,.543,51.6,58.3,8.8,8.6,.527,13.9,28.7,.184
Old Dominion,7,3,4,.429,-4.24,2.26,3,1,0,3,477,502,67.9,98.8,.236,.292,.506,49.4,42.9,10.8,10.6,.480,14.8,27.9,.165
Omaha,9,5,4,.556,-7.72,-1.52,4,0,0,3,682,609,69.5,108.9,.385,.364,.552,50.8,41.1,10.1,4.2,.516,13.2,26.0,.274
Oral Roberts,7,3,4,.429,0.54,4.87,3,0,0,4,502,523,67.7,104.1,.330,.465,.542,44.0,45.3,8.1,11.9,.511,12.5,20.8,.233
Oregon,7,5,2,.714,10.99,3.56,3,0,1,0,575,523,70.7,114.1,.357,.332,.551,52.3,49.5,10.5,9.5,.536,11.1,31.6,.217
Oregon State,7,4,3,.571,2.21,8.71,4,0,0,0,501,504,68.6,99.0,.471,.388,.533,48.3,51.6,9.1,8.4,.473,17.5,26.4,.359
Pacific,9,4,5,.444,-15.84,-7.51,3,3,1,2,599,674,72.3,90.8,.369,.409,.501,45.0,69.7,9.5,3.6,.475,17.2,19.3,.226
Penn State,8,4,4,.500,6.25,-0.37,4,1,0,0,606,553,71.3,106.1,.382,.409,.541,47.8,40.7,11.7,8.8,.501,14.4,28.3,.276
Pennsylvania,9,5,4,.556,0.78,-2.10,5,1,0,2,720,652,67.4,113.9,.324,.384,.565,55.0,56.3,8.9,9.5,.550,15.3,36.7,.205
Pepperdine,9,4,5,.444,3.00,1.13,4,1,0,1,676,649,70.2,107.0,.289,.291,.554,53.1,50.2,8.4,5.2,.523,16.3,31.1,.212
Pittsburgh,7,5,2,.714,16.90,-3.53,4,1,0,0,593,450,71.6,118.4,.421,.471,.556,59.3,57.4,8.8,15.7,.523,11.8,38.7,.291
Portland,8,5,3,.625,0.30,1.80,5,1,0,2,653,622,74.4,109.6,.354,.419,.586,53.6,57.4,7.6,10.7,.553,18.0,30.6,.262
Portland State,8,6,2,.750,2.61,0.18,2,0,3,1,559,525,67.5,103.5,.318,.405,.502,48.9,47.4,9.8,8.1,.471,11.9,28.4,.213
Prairie View,7,4,3,.571,-1.40,2.10,1,0,2,3,524,522,76.1,98.3,.364,.235,.490,49.4,36.8,12.0,6.9,.434,13.7,30.3,.281
Presbyterian,9,6,3,.667,-8.70,-10.08,2,1,3,1,693,640,71.5,106.3,.397,.322,.562,49.7,53.2,8.9,10.6,.541,15.0,24.0,.252
Princeton,8,8,0,1.000,13.23,1.85,2,0,5,0,605,514,64.4,117.5,.274,.473,.578,51.6,49.1,10.7,5.7,.543,12.2,30.9,.220
Providence,8,7,1,.875,13.70,0.07,6,0,0,0,618,509,70.4,108.0,.343,.396,.563,54.0,51.8,9.1,14.7,.536,16.3,31.3,.237
Purdue,8,7,1,.875,27.64,10.14,4,0,0,1,677,537,72.2,115.5,.491,.355,.594,58.7,59.6,7.3,13.1,.560,15.6,33.9,.346
Purdue Fort Wayne,9,8,1,.889,8.97,0.25,4,0,2,1,796,608,74.2,119.2,.273,.393,.613,47.8,44.7,13.5,10.4,.593,12.1,23.3,.198
Queens (NC),9,5,4,.556,-8.32,-1.57,4,0,0,4,711,700,73.7,107.2,.305,.433,.523,50.9,54.6,8.4,7.2,.493,13.6,32.9,.210
Quinnipiac,7,5,2,.714,-9.74,-7.41,4,0,1,2,576,522,74.2,111.0,.385,.350,.576,54.4,58.2,8.7,12.1,.527,15.8,32.1,.307
Radford,9,5,4,.556,-1.62,0.96,2,0,0,4,672,606,68.7,108.6,.253,.347,.563,54.1,43.2,9.2,9.4,.538,17.0,32.9,.186
Rhode Island,8,5,3,.625,1.63,2.06,5,0,0,1,603,568,67.4,111.9,.365,.283,.551,54.9,48.0,8.0,7.9,.539,14.9,37.2,.217
Rice,8,3,5,.375,-4.45,4.69,3,1,0,1,616,636,73.1,105.3,.340,.386,.530,49.7,55.7,8.7,9.3,.498,13.0,27.0,.236
Richmond,8,5,3,.625,9.50,-3.12,4,0,0,2,631,530,67.9,116.2,.200,.380,.588,47.6,45.1,10.5,9.4,.572,9.9,20.3,.143
Rider,7,1,6,.143,-14.50,2.01,1,0,0,6,475,528,72.2,93.9,.265,.272,.466,51.9,45.4,9.7,9.5,.438,15.7,32.4,.172
Robert Morris,8,2,6,.250,-8.50,-0.21,2,2,0,4,537,585,69.5,96.6,.309,.370,.510,48.1,48.9,8.3,5.6,.467,18.3,29.2,.235
Rutgers,7,5,2,.714,12.23,1.95,5,1,0,0,481,409,68.3,100.6,.430,.336,.497,48.4,54.3,12.6,17.2,.459,13.7,30.5,.279
Sacramento State,8,2,6,.250,-10.56,0.58,1,0,1,4,605,621,71.5,105.8,.306,.530,.547,55.9,59.9,6.3,5.6,.517,18.9,36.6,.219
Sacred Heart,9,4,5,.444,-8.94,-7.44,2,2,1,3,683,651,73.7,103.0,.324,.331,.521,50.4,40.1,14.2,14.4,.492,14.7,30.0,.218
Saint Francis (PA),9,4,5,.444,-16.89,0.40,2,1,2,4,590,644,67.9,96.6,.305,.334,.500,47.5,45.4,9.8,7.9,.470,17.3,32.1,.206
Saint Joseph's,8,6,2,.750,9.62,-2.01,4,1,1,1,608,515,70.0,107.0,.245,.501,.561,51.2,65.6,10.4,11.2,.540,15.9,27.7,.173
Saint Louis,9,5,4,.556,-4.62,0.51,4,1,0,1,677,682,72.2,104.2,.427,.355,.543,46.1,47.6,10.8,6.9,.500,13.5,21.7,.307
Saint Mary's (CA),8,3,5,.375,11.84,12.98,3,2,0,0,559,488,65.5,106.7,.295,.380,.506,57.9,54.6,9.0,13.8,.485,14.4,41.2,.186
Saint Peter's,6,2,4,.333,-7.71,-4.55,0,1,2,3,377,396,65.2,96.4,.341,.366,.494,55.2,43.8,10.5,8.6,.447,19.6,39.2,.256
Sam Houston,8,4,4,.500,-7.25,-5.25,1,1,2,3,587,584,72.1,98.7,.385,.389,.511,50.9,59.0,11.8,5.5,.465,15.9,30.1,.278
Samford,8,6,2,.750,2.63,-2.38,6,0,0,2,662,583,75.0,110.3,.328,.404,.559,52.4,64.1,14.2,10.6,.522,16.4,35.7,.248
San Diego,8,6,2,.750,-0.35,-6.35,5,0,0,1,576,530,71.1,101.2,.385,.339,.536,51.3,50.5,9.5,11.5,.486,17.4,28.6,.297
San Diego State,8,7,1,.875,17.22,7.65,3,0,1,1,625,538,68.9,110.0,.400,.363,.547,52.4,59.2,11.8,10.8,.505,13.7,31.7,.292
San Francisco,7,5,2,.714,15.31,3.14,3,0,0,1,564,422,70.0,115.1,.222,.360,.589,57.0,55.3,14.5,11.9,.569,16.1,37.4,.164
San Jose State,9,5,4,.556,1.05,-1.82,3,0,0,3,663,595,67.8,107.3,.279,.437,.566,51.1,50.0,8.3,11.0,.546,16.1,27.3,.190
Santa Clara,9,7,2,.778,2.47,-3.53,5,0,1,1,713,628,70.4,112.5,.254,.382,.558,56.1,53.1,8.0,8.0,.545,14.7,36.9,.161
Seattle,8,5,3,.625,5.25,-2.38,5,1,0,2,574,513,69.0,104.0,.404,.370,.556,54.0,54.3,9.6,10.7,.512,18.2,30.8,.303
Seton Hall,7,5,2,.714,9.08,-2.21,5,0,0,0,546,467,69.4,112.3,.305,.308,.560,55.6,48.3,13.2,9.5,.520,14.7,36.4,.242
Siena,7,2,5,.286,-25.27,-9.70,2,1,0,2,412,521,65.5,90.0,.279,.345,.483,50.6,47.2,7.2,11.7,.468,21.7,36.3,.156
South Alabama,9,4,5,.444,-11.02,-2.59,3,2,1,3,636,692,66.8,101.6,.370,.383,.535,46.1,37.7,7.7,6.9,.494,14.1,21.4,.269
South Carolina,7,7,0,1.000,13.75,1.32,4,0,0,0,537,450,66.6,115.2,.339,.412,.581,52.5,56.4,8.6,8.7,.555,13.5,30.7,.239
South Carolina State,9,2,7,.222,-18.04,-2.79,2,0,0,7,621,735,74.1,93.1,.340,.255,.471,50.9,50.7,12.7,7.6,.438,17.2,35.8,.217
South Carolina Upstate,9,4,5,.444,-11.15,-2.01,2,0,2,5,654,625,69.7,102.8,.268,.401,.529,46.5,53.8,13.2,8.1,.511,14.6,25.6,.172
South Dakota,8,5,3,.625,-3.14,-3.14,4,1,0,1,661,555,72.9,113.4,.319,.332,.551,58.7,43.5,6.3,6.5,.521,15.6,41.7,.226
South Dakota State,8,4,4,.500,0.65,2.31,2,1,1,1,595,555,68.2,109.0,.244,.380,.551,51.9,42.5,10.8,11.6,.538,14.7,30.6,.153
South Florida,6,2,4,.333,-1.29,-2.62,2,2,0,2,411,403,71.2,96.3,.356,.359,.478,49.0,56.7,10.8,7.0,.427,14.0,28.5,.264
Southeast Missouri State,7,1,6,.143,-19.00,0.71,1,1,0,4,424,562,72.4,83.8,.283,.388,.448,44.1,50.3,7.7,8.4,.427,17.5,23.8,.163
Southeastern Louisiana,8,2,6,.250,-9.01,6.99,2,0,0,4,583,614,71.3,102.3,.324,.353,.521,48.6,57.7,12.1,3.5,.488,15.9,31.9,.227
Southern,7,1,6,.143,-11.36,8.92,0,0,1,6,474,616,73.7,90.3,.230,.369,.496,40.5,47.8,12.8,5.9,.480,17.7,21.5,.139
Southern California,8,5,3,.625,12.43,4.81,3,1,0,0,631,570,71.0,111.1,.397,.386,.576,50.2,54.0,9.0,14.2,.538,16.1,30.8,.293
Southern Illinois,7,5,2,.714,9.51,-2.15,4,0,0,1,556,455,68.1,116.6,.405,.459,.601,52.0,58.1,10.5,10.8,.572,14.4,28.3,.289
SIU Edwardsville,9,5,4,.556,-10.15,-4.01,3,0,0,4,627,621,64.6,107.9,.327,.345,.538,49.5,47.3,9.3,14.2,.506,14.2,31.6,.232
Southern Indiana,9,2,7,.222,-10.48,0.66,2,2,0,5,604,621,70.1,95.7,.253,.376,.505,51.8,55.6,8.7,10.0,.478,17.2,28.1,.176
Southern Methodist,8,5,3,.625,9.55,2.41,4,2,0,0,580,511,68.0,106.6,.287,.343,.512,51.9,54.7,13.2,12.5,.482,13.9,37.3,.201
Southern Mississippi,8,4,4,.500,-9.04,-4.20,2,1,2,1,555,531,68.8,100.7,.402,.320,.503,50.9,49.2,13.2,14.0,.469,14.2,31.2,.261
Southern Utah,7,2,5,.286,-6.06,2.61,1,1,0,4,520,537,70.4,105.5,.375,.361,.534,48.3,36.6,8.9,3.0,.500,14.9,30.6,.259
St. Bonaventure,7,5,2,.714,3.91,-1.38,3,1,1,0,503,466,66.5,107.9,.272,.423,.551,52.0,57.5,9.4,13.9,.516,15.2,34.6,.213
St. John's (NY),7,5,2,.714,10.40,2.54,2,1,1,0,558,503,69.4,114.8,.226,.353,.538,55.6,53.3,10.1,13.7,.517,14.8,44.9,.158
St. Thomas,8,4,4,.500,-2.79,-2.51,2,0,1,3,534,490,63.1,105.7,.265,.420,.538,50.3,53.1,7.9,5.8,.516,14.5,27.6,.179
Stanford,7,3,4,.429,0.64,-0.79,3,1,0,0,554,544,71.9,106.3,.239,.400,.556,47.8,60.6,8.4,7.6,.536,14.4,23.4,.168
Stephen F. Austin,8,5,3,.625,4.37,0.37,1,1,2,1,626,570,73.6,103.1,.339,.337,.582,53.4,47.6,11.9,8.9,.554,22.4,34.0,.244
Stetson,7,5,2,.714,-0.81,2.39,2,0,1,2,547,463,67.9,115.2,.205,.452,.581,53.6,60.4,7.6,6.9,.557,15.7,34.3,.161
Stonehill,9,1,8,.111,-20.30,1.15,1,2,0,6,584,777,72.3,89.8,.226,.447,.497,42.9,46.4,9.2,7.3,.469,17.8,20.2,.164
Stony Brook,7,2,5,.286,-8.18,1.99,2,1,0,4,476,496,68.8,99.0,.254,.375,.486,47.7,42.6,9.6,10.3,.461,13.3,29.4,.167
Syracuse,8,5,3,.625,7.65,8.79,4,0,0,1,611,570,73.1,104.6,.274,.361,.522,48.8,47.1,12.0,12.6,.490,14.0,30.1,.199
Tarleton State,8,6,2,.750,-2.46,-1.60,2,0,2,2,558,523,67.3,103.5,.319,.289,.522,52.9,42.1,13.4,11.1,.478,17.3,37.8,.246
TCU,7,7,0,1.000,12.60,-12.97,6,0,1,0,642,463,75.7,121.1,.322,.300,.613,56.5,63.8,15.7,15.0,.586,14.7,36.3,.242
Temple,7,4,3,.571,1.32,-1.68,2,2,2,0,546,525,69.7,106.2,.386,.430,.500,50.2,46.0,9.5,9.5,.443,10.6,31.6,.299
Tennessee,7,4,3,.571,19.91,10.63,2,0,1,1,534,469,71.7,106.4,.319,.417,.540,50.7,52.2,10.4,13.9,.498,12.7,27.4,.249
Tennessee State,9,6,3,.667,-6.02,-6.02,4,0,1,2,690,633,71.2,106.2,.352,.344,.541,50.2,50.0,10.5,7.2,.506,15.3,31.6,.251
Tennessee Tech,8,2,6,.250,-12.71,0.86,1,2,1,4,539,622,69.0,96.3,.279,.325,.519,46.0,40.7,5.2,7.1,.497,14.6,16.1,.183
Tennessee-Martin,9,5,4,.556,-6.45,-1.31,3,0,2,3,760,750,77.8,105.6,.262,.389,.550,52.2,47.1,9.0,5.4,.520,15.1,27.0,.195
Texas,7,6,1,.857,12.02,-3.41,5,0,0,0,569,461,69.7,116.6,.324,.341,.591,53.4,57.1,10.5,13.4,.566,14.9,33.3,.233
Texas A&M,8,6,2,.750,18.72,11.60,2,0,2,1,602,545,65.6,114.7,.333,.347,.513,58.2,43.3,9.9,10.0,.471,12.0,45.9,.245
Texas A&M-Commerce,9,4,5,.444,-8.15,5.71,3,1,1,4,645,640,71.2,100.8,.243,.485,.528,46.9,56.1,11.9,14.1,.506,15.0,23.8,.164
Texas A&M-Corpus Christi,7,3,4,.429,-9.41,3.99,2,0,1,3,537,480,74.9,102.5,.340,.309,.514,55.4,53.8,13.9,7.0,.490,16.3,36.1,.213
Texas Southern,7,0,7,.000,-6.94,14.35,0,0,0,7,391,540,68.3,81.8,.164,.361,.407,45.3,41.4,8.4,9.1,.389,14.9,26.5,.099
Texas State,8,3,5,.375,-4.75,2.01,1,0,2,3,513,567,68.2,94.0,.363,.255,.473,51.7,43.9,8.8,11.7,.442,16.9,34.9,.225
Texas Tech,7,5,2,.714,9.55,3.27,3,0,0,1,511,467,67.7,106.0,.356,.426,.541,52.0,53.7,8.9,10.7,.499,15.2,31.1,.267
Texas-Rio Grande Valley,9,2,7,.222,-13.18,4.82,2,1,0,4,661,717,76.4,96.2,.388,.297,.497,47.0,54.0,14.1,9.0,.457,16.4,28.7,.262
The Citadel,9,5,4,.556,-4.71,-7.46,2,1,1,3,624,584,65.7,105.6,.343,.388,.539,54.5,45.0,7.1,7.1,.503,14.7,29.1,.247
Toledo,7,3,4,.429,8.18,5.47,2,1,1,0,565,546,71.7,112.5,.366,.242,.572,47.8,48.5,11.0,7.2,.533,14.4,31.1,.276
Towson,8,3,5,.375,-5.52,0.61,2,0,1,1,457,506,60.6,94.2,.347,.298,.457,56.0,39.9,8.5,12.6,.423,17.5,42.0,.219
Troy,8,4,4,.500,-4.97,-7.30,4,1,0,3,678,554,73.1,110.8,.381,.385,.545,56.0,51.7,13.2,7.9,.510,16.8,41.2,.266
Tulane,6,5,1,.833,9.83,-4.01,4,0,0,0,530,447,76.3,115.7,.530,.354,.630,46.2,45.5,14.4,10.0,.582,13.9,18.3,.414
Tulsa,6,4,2,.667,-0.42,-10.42,4,0,0,2,469,409,73.5,104.2,.452,.398,.526,52.9,48.0,11.1,9.0,.473,17.1,34.9,.332
UAB,8,4,4,.500,0.01,1.76,2,3,1,0,585,599,68.9,104.5,.414,.294,.514,52.0,41.9,10.0,13.1,.466,14.3,35.0,.296
UC Davis,6,3,3,.500,-4.84,-1.84,2,1,0,2,420,400,70.0,100.0,.436,.383,.542,51.6,52.1,12.1,12.7,.505,20.3,34.5,.299
UC Irvine,9,6,3,.667,8.66,3.41,2,0,1,3,703,601,70.4,110.9,.323,.286,.570,54.3,58.8,9.6,8.0,.543,15.7,32.2,.228
UC Riverside,8,3,5,.375,-3.22,6.94,2,0,0,5,562,570,68.5,102.6,.210,.468,.488,51.6,61.3,8.6,4.0,.465,12.3,33.8,.145
UC San Diego,8,4,4,.500,1.00,2.57,4,1,0,2,608,560,68.8,108.8,.320,.402,.556,46.1,44.2,9.5,9.9,.522,12.9,25.5,.236
UC Santa Barbara,6,4,2,.667,-1.84,-5.84,3,1,1,1,478,446,71.3,111.7,.383,.286,.615,57.6,53.7,4.9,8.9,.585,19.0,30.8,.283
UCLA,7,5,2,.714,9.83,-0.84,4,0,0,0,497,405,66.1,107.3,.404,.250,.543,56.5,54.0,9.9,14.6,.497,15.0,34.6,.299
UNC Asheville,8,5,3,.625,-7.18,0.82,3,1,0,1,705,581,75.0,115.6,.467,.449,.581,49.7,63.8,8.7,10.8,.548,13.3,31.4,.322
UNC Greensboro,7,6,1,.857,5.79,-1.21,2,0,1,1,552,478,68.0,116.0,.320,.421,.576,50.7,48.5,10.5,7.3,.550,11.3,27.3,.226
UNC Wilmington,8,6,2,.750,1.79,1.13,2,0,3,1,660,581,70.7,114.8,.348,.390,.576,49.2,39.0,8.7,6.3,.545,12.2,25.4,.252
UT Arlington,8,4,4,.500,2.12,6.27,4,1,0,3,609,607,72.3,105.2,.356,.441,.555,54.5,66.0,7.1,7.9,.521,18.3,33.6,.256
Utah,7,5,2,.714,17.41,7.12,2,0,1,0,565,493,70.7,114.1,.376,.365,.575,54.8,57.9,9.5,9.8,.543,14.7,31.5,.269
Utah State,8,7,1,.875,11.71,1.14,3,0,1,1,647,520,69.1,115.3,.308,.316,.591,56.1,60.2,9.6,14.7,.575,14.9,32.4,.203
